person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
162731;4;1229349.803099845;6205756.57074899;1228432.5114487042;6204050.71051471;65236.0;1990.0;0.0;2728.333400406621;car;home;leisure;false;1936.8487582026148
93625;1;1182132.235728161;6108588.705270642;1178074.1006881844;6110678.993700744;59930.0;7318.0;0.0;10228.784846718925;car;work;home;true;4564.840164091257
310246;2;1228698.7715120632;6200056.452012356;1227705.9774659623;6200548.6292902045;65232.0;2065.0;0.0;3239.68801644986;car;home;other;false;1108.09678765144
95448;6;1181312.592622973;6112920.234069064;1180986.4111320735;6108633.323317708;59973.0;7341.0;0.0;9974.217938484899;car;work;other;false;4299.30205441482
212163;1;1235139.985441695;6130048.996760488;1227112.4533378594;6130505.443039097;54932.0;12395.0;0.0;16704.1747308963;car;work;home;true;8040.498422571054
77747;4;1176268.2700295649;6108489.601121432;1173613.8841613918;6107157.464411914;65144.0;2197.0;0.0;4613.6966735013075;car;other;home;true;2969.9078352706388
210982;6;1228100.3010045458;6199182.746341839;1227474.9697233255;6194665.565754114;61878.0;5561.0;0.0;7548.576780279971;car;work;other;false;4560.258728778297
26782;4;1216677.2610514697;6053708.413869599;1216489.6864564908;6053317.482053431;65533.0;1909.0;0.0;2566.2678162025986;car;home;leisure;false;433.60340586073136
315041;4;1227640.4124800023;6196800.118589295;1227697.0645115543;6199758.437840123;63248.0;4199.0;0.0;5849.813434890881;car;other;home;true;2958.8616463931653
159847;3;1238990.6644622064;6134978.904258862;1235063.6253438084;6136295.9013502905;63831.0;3737.0;0.0;5449.694934575504;car;work;home;true;4141.994395971437
151001;4;1223530.526990578;6076024.506068042;1223093.69042713;6076542.401177205;67018.0;607.0;0.0;729.126819670051;walk;home;leisure;false;677.5260343784543
142358;4;1175986.5029603373;6109546.520136353;1175534.825883097;6109035.354425764;66246.0;1397.0;0.0;2106.5852184178193;car;home;leisure;false;682.130900770682
50249;2;1210324.777459965;6086728.113421639;1210405.8724151724;6086810.477983024;67388.0;267.0;0.0;320.67828412217006;walk;leisure;home;true;115.58681902424948
40714;2;1175848.5783369127;6107733.382105283;1172838.75924254;6128348.199541999;54571.0;13111.0;0.0;35818.50097078866;car;work;home;true;20833.379680934235
179253;3;1229068.2844824742;6184058.130183814;1230729.686050164;6185706.097240372;64725.0;2964.0;0.0;4006.8591800822496;car;work;home;true;2340.096277639271
212166;1;1230928.8316020854;6123044.584820313;1227112.4533378594;6130505.443039097;61436.0;6305.0;0.0;9075.327019416909;car;work;home;true;8380.28331361454
40714;3;1172838.75924254;6128348.199541999;1172838.75924254;6128348.199541999;67682.0;60.0;0.0;0.0;car;home;other;false;0.0
155560;8;1225229.235577249;6074949.707360499;1224430.5724587927;6075722.091674667;66461.0;1323.0;0.0;1740.3027063128134;car;other;home;true;1111.0536915718446
40714;4;1172838.75924254;6128348.199541999;1172838.75924254;6128348.199541999;67742.0;60.0;0.0;0.0;car;other;home;true;0.0
324884;3;1228628.2770845415;6200836.431353867;1228685.6508405942;6200106.113665405;67177.0;638.0;0.0;900.564777425034;car;other;home;true;732.5678630437911
202622;4;1235288.0762664224;6159020.214321586;1235441.706703021;6160041.093336891;66543.0;1331.0;0.0;2276.4142653542813;car;home;leisure;false;1032.3740964106623
110961;4;1174182.5660737331;6107215.951524228;1176523.0783688696;6108967.107848852;64347.0;3566.0;0.0;4776.612586241547;car;other;home;true;2923.105587719314
47482;1;1182317.3581495043;6114975.212303354;1189160.0740418471;6115873.418591315;60970.0;6963.0;0.0;10738.473036731353;car;work;home;true;6901.41545764731
140063;4;1178014.6058538775;6111006.406809733;1181010.037575554;6110227.367427966;63056.0;4896.0;0.0;6845.396588719077;car;other;home;true;3095.0789259034027
210982;7;1227474.9697233255;6194665.565754114;1227559.9449911383;6195325.695970037;67439.0;514.0;0.0;895.8396338250477;car;other;other;false;665.5769663343297
64728;3;1198729.2712585116;6078612.787100265;1198556.2621654226;6076227.037095021;64484.0;3504.0;0.0;4902.659878528864;car;work;home;true;2392.0148899641313
12923;3;1177681.848697551;6111022.345729189;1176499.5973505243;6114639.60705897;61690.0;6306.0;0.0;8392.055321007754;car;shop;home;true;3805.561427106068
325109;4;1227780.9189856623;6196545.649752121;1226414.034503735;6197665.160794916;66544.0;1473.0;0.0;3186.8096636784835;car;home;leisure;false;1766.8271454423796
237076;4;1229408.8495780278;6121357.104756426;1230554.8259478034;6120412.503674112;66100.0;1964.0;0.0;3460.1280086205775;car;other;home;true;1485.1037151635146
66101;1;1192232.088261059;6081437.959257657;1182678.8028912991;6085394.021851929;56846.0;11235.0;0.0;13482.222627116491;pt;work;home;true;10340.00447803907
140848;1;1176592.3111684183;6108742.586738997;1175412.4041240616;6107415.246162083;66394.0;1706.0;0.0;2285.7879612700126;car;shop;home;true;1775.9542900776746
232040;2;1235685.580298906;6171449.704921676;1230418.9590564822;6123998.063735448;57938.0;10330.0;0.0;56503.94865793019;car;home;work;false;47743.01572562924
75221;1;1170036.750400905;6106626.573848043;1172934.8241510307;6106896.2212841995;65659.0;2621.0;0.0;3773.5615994766385;car;shop;leisure;false;2910.591211591499
325237;2;1228780.495646914;6199036.213694854;1228097.5605391427;6200104.389397946;66732.0;1553.0;0.0;2001.5287593930195;car;leisure;home;true;1267.8326759094502
93626;3;1182132.235728161;6108588.705270642;1179326.551150763;6112224.861100195;59207.0;9088.0;0.0;12565.85127895141;car;work;other;false;4592.76552467444
78467;1;1177856.4847866269;6111136.841303414;1179800.9921312942;6112268.489181114;66306.0;2037.0;0.0;2743.02942277846;car;shop;leisure;false;2249.830156382819
212165;4;1231529.1922653061;6124267.183385618;1227112.4533378594;6130505.443039097;61457.0;6909.0;0.0;9900.40319314898;car;other;home;true;7643.524465679812
76935;4;1177289.5815763888;6111814.221105715;1176748.0276057299;6108073.144564921;64586.0;3853.0;0.0;5018.070716577169;car;home;leisure;false;3780.0706854789523
184135;3;1227580.6013339898;6195399.009796174;1229100.7669201784;6183847.4633410685;61348.0;7137.0;0.0;12844.42455298939;car;work;home;true;11651.142815788457
256781;8;1191727.1994894117;6181818.833853708;1191157.3127175136;6180917.514618026;65400.0;3096.0;0.0;4714.907363152544;car;other;home;true;1066.3710880335834
140849;4;1175412.4041240616;6107415.246162083;1174543.3226415194;6107358.942601832;67017.0;1538.0;0.0;2384.7780341928224;car;home;leisure;false;870.9033897021819
45140;7;1186243.4051575102;6118911.156602781;1184291.5151109332;6118437.223664265;65869.0;2707.0;0.0;4339.9592826685075;car;other;other;false;2008.603291876419
206297;1;1184596.513824382;6184686.469769062;1183772.2231352173;6187217.320739334;63510.0;5096.0;0.0;7410.979836026898;car;other;home;true;2661.702795951315
245918;3;1208443.7376006902;6154049.661393994;1209845.673443986;6146448.959411094;61135.0;7494.0;0.0;11585.124956874854;car;work;other;false;7728.912908138203
75222;1;1180901.880088977;6112333.136282839;1175009.0554188627;6107105.593902391;61593.0;7045.0;0.0;9970.997000993588;car;leisure;home;true;7877.346122399515
202804;6;1238921.3259567101;6153682.041442351;1236274.455533411;6161352.718864573;60139.0;8528.0;0.0;13914.263893363412;car;work;other;false;8114.506463952008
95448;7;1180986.4111320735;6108633.323317708;1181113.5214185384;6109650.627240453;67314.0;1383.0;0.0;4625.582381345814;car;other;other;false;1025.2142684124499
136329;4;1177289.5815763888;6111814.221105715;1178185.599231624;6109890.505744053;65784.0;2917.0;0.0;4130.22317789441;car;other;home;true;2122.151839805163
64727;1;1197302.5714955265;6072743.173728576;1198556.2621654226;6076227.037095021;65159.0;3544.0;0.0;10716.605325934486;car;other;home;true;3702.57265314884
238688;2;1210645.3523512012;6148680.58187485;1210667.6292432242;6147962.686228038;66874.0;1842.0;0.0;4863.0995800711535;car;leisure;home;true;718.2411987837979
136594;8;1179759.5306490175;6111800.849352287;1176941.9633659034;6110607.4338827785;65915.0;2807.0;0.0;7042.188872064725;car;other;home;true;3059.8898473209665
55050;3;1176977.7448314652;6109959.778201861;1184706.5148348135;6109608.804952674;61530.0;7319.0;0.0;13582.509336224663;car;work;other;false;7736.734969371945
118916;3;1176650.4013741366;6109547.205375234;1175009.0554188627;6107105.593902391;66183.0;2691.0;0.0;3653.5713212851806;car;other;home;true;2942.0202462268753
93627;7;1178652.0727638584;6112471.241170483;1178183.7709626642;6110411.628350429;65967.0;2934.0;0.0;4155.132438733133;car;other;other;false;2112.181702773309
259852;2;1233885.8218318461;6162743.004708184;1228244.257932703;6194525.219563629;62567.0;6336.0;0.0;46608.4551403035;car;home;work;false;32279.04001586416
165730;7;1227210.068086245;6199580.113580363;1227858.5072155676;6190007.12333359;61366.0;7572.0;0.0;12427.927001153332;car;other;other;false;9594.926553613794
184135;4;1229100.7669201784;6183847.4633410685;1228214.2925190558;6183794.693680873;68485.0;514.0;0.0;3016.938417016952;car;home;leisure;false;888.0436368123504
63444;0;1182341.1916488712;6115021.591534149;1175007.0490790391;6114100.891484557;57837.0;11210.0;0.0;15643.630924851506;car;home;shop;false;7391.707232834749
52818;1;1177466.5965754127;6110697.168205084;1183697.4906843388;6129293.727171168;53792.0;15271.0;0.0;43020.72569201189;car;work;home;true;19612.650172163623
77744;7;1176646.455156276;6107990.062390221;1174543.3226415194;6107358.942601832;66100.0;2992.0;0.0;4152.04684428793;car;other;other;false;2195.786547441163
210472;3;1232379.082775198;6182670.040585704;1227131.9789594207;6192589.645209502;61337.0;7809.0;0.0;14551.412999833563;car;work;other;false;11221.88283426735
192965;3;1232364.3536586412;6189656.750545828;1231683.5642333282;6190205.3949387865;67935.0;1227.0;0.0;2143.995600925623;car;home;other;false;874.348278172486
202091;5;1195186.3116388149;6154201.801930811;1195151.8641078696;6154154.627273008;69204.0;6.0;0.0;99.24157139748881;car;leisure;home;true;58.41301847242689
179253;4;1230729.686050164;6185706.097240372;1230931.8403997356;6184738.964367014;67725.0;1496.0;0.0;2526.794518797339;car;home;leisure;false;988.0346025210841
89056;5;1177635.3004064527;6110768.819560174;1177515.9087722816;6110608.996716952;68606.0;714.0;0.0;1106.80230222884;car;leisure;home;true;199.4936177565593
50248;3;1210405.8724151724;6086810.477983024;1210752.212686291;6087039.925345883;69136.0;189.0;0.0;703.3599811289839;car;home;other;false;415.4487642553992
118917;4;1175009.0554188627;6107105.593902391;1176588.9127837208;6109137.375508251;66781.0;2587.0;0.0;3509.1130570969294;car;home;leisure;false;2573.7299367269125
52926;4;1203669.8435549736;6083358.081116898;1206437.1057081204;6085203.470614976;64863.0;4559.0;0.0;6839.571745122457;car;home;leisure;false;3326.139236991763
159849;3;1231236.519207277;6133540.507928144;1235063.6253438084;6136295.9013502905;62259.0;7167.0;0.0;17552.86127070733;car;shop;home;true;4715.817457353822
69915;7;1222750.93562987;6080796.142605614;1230829.9581120033;6082653.49058464;63799.0;5638.0;0.0;15040.297225368378;car;other;other;false;8289.77356638925
21393;4;1217553.5340906242;6052707.179482165;1219482.1246930647;6056033.322898177;66338.0;3150.0;0.0;7227.086996271723;car;other;home;true;3844.826619719819
184137;2;1228214.2925190558;6183794.693680873;1229100.7669201784;6183847.4633410685;67615.0;1949.0;0.0;2658.6645777694653;car;leisure;home;true;888.0436368123504
127510;7;1177272.1149844725;6111367.114983907;1176197.7875818226;6111375.843257943;66649.0;2974.0;0.0;4524.690702179743;car;other;other;false;1074.3628580941167
93627;8;1178183.7709626642;6110411.628350429;1178074.1006881844;6110678.993700744;68901.0;829.0;0.0;1849.9077058980458;car;other;home;true;288.9840820066405
185088;3;1167999.9761343626;6170063.61699653;1173049.50873374;6178012.091146486;59401.0;10335.0;0.0;23012.266010171697;car;work;other;false;9416.794613066877
212162;3;1227112.4533378594;6130505.443039097;1227736.5322247087;6128656.98513359;67703.0;2040.0;0.0;2891.015270971638;car;home;other;false;1950.9667053646467
165730;8;1227858.5072155676;6190007.12333359;1227431.9447241179;6191030.705673559;68938.0;807.0;0.0;3241.200352790017;car;other;home;true;1108.9077354799554
202621;3;1235438.6839102881;6158173.974940199;1235288.0762664224;6159020.214321586;68662.0;1183.0;0.0;1700.6126580603498;car;work;home;true;859.536941033294
49901;3;1224129.5052742409;6075871.947699821;1229763.454893636;6078782.385713089;64088.0;5827.0;0.0;10377.482452598651;car;work;home;true;6341.296219461942
210471;1;1226260.7095240103;6204331.229300868;1225803.564682053;6194538.870334677;65274.0;4692.0;0.0;19366.67119476823;car;other;home;true;9803.023795199984
77746;3;1173613.8841613918;6107157.464411914;1175916.5894016253;6107729.5414057495;67682.0;2351.0;0.0;3263.8884842221737;car;home;other;false;2372.7038395624954
93626;4;1179326.551150763;6112224.861100195;1178074.1006881844;6110678.993700744;68295.0;1830.0;0.0;2642.796120088743;car;other;home;true;1989.557281884503
192965;4;1231683.5642333282;6190205.3949387865;1232364.3536586412;6189656.750545828;69162.0;1026.0;0.0;1539.6913116944797;car;other;home;true;874.348278172486
143536;4;1176189.3860885382;6108097.153755544;1174081.9838890769;6107189.840856651;67777.0;2436.0;0.0;3283.138002539317;car;home;leisure;false;2294.4194748981763
310246;3;1227705.9774659623;6200548.6292902045;1228698.7715120632;6200056.452012356;67297.0;2971.0;0.0;3966.702802969529;car;other;home;true;1108.09678765144
210472;4;1227131.9789594207;6192589.645209502;1225803.564682053;6194538.870334677;69146.0;1150.0;0.0;7184.8327270639675;car;other;home;true;2358.8478291165543
49901;4;1229763.454893636;6078782.385713089;1228306.4228163757;6078716.17267578;69915.0;478.0;0.0;2609.0008092860303;car;home;leisure;false;1458.5357864911043
110962;2;1176904.208901452;6110134.727077888;1176523.0783688696;6108967.107848852;69216.0;1197.0;0.0;1508.3091978307082;car;leisure;home;true;1228.248813100171
33064;1;1192602.3236040655;6107044.255100747;1190968.4233598153;6109188.665332062;66382.0;4035.0;0.0;5675.681997968643;car;shop;home;true;2695.946076673563
114375;4;1180986.4111320735;6108633.323317708;1177461.1680916818;6110261.06286242;66587.0;3935.0;0.0;5628.492253178831;car;other;home;true;3882.8951208150647
50248;4;1210752.212686291;6087039.925345883;1210405.8724151724;6086810.477983024;69736.0;811.0;0.0;1328.5198404290677;car;other;home;true;415.4487642553992
210982;8;1227559.9449911383;6195325.695970037;1227125.8510974543;6192656.935547981;67953.0;2616.0;0.0;5106.076529050813;car;other;home;true;2703.834258763683
212164;3;1230554.8259478034;6120412.503674112;1227112.4533378594;6130505.443039097;63228.0;7345.0;0.0;12737.40042854645;car;work;home;true;10663.833935829534
245919;3;1207128.2541326685;6155251.037821298;1207501.806983086;6153505.593263123;69022.0;1557.0;0.0;2223.8310463791554;car;work;home;true;1784.9701503719284
136328;2;1179346.8936317007;6111475.176392228;1178185.599231624;6109890.505744053;67583.0;3012.0;0.0;4375.994108481589;car;leisure;home;true;1964.6337436880196
227179;3;1229452.1685343217;6182896.579313187;1232612.7564375647;6173865.504588241;62185.0;8571.0;0.0;13690.138257351045;car;work;other;false;9568.156906201302
283674;5;1229472.8129723638;6176380.867452199;1229805.0091226986;6176241.966844834;70204.0;571.0;0.0;1090.1592048837456;car;leisure;home;true;360.0661897810027
87063;5;1176748.0276057299;6108073.144564921;1176394.9578314004;6108442.417001528;70209.0;647.0;0.0;859.0546466708345;car;leisure;home;true;510.901554100672
202804;7;1236274.455533411;6161352.718864573;1238108.054911441;6158686.26805979;68667.0;2203.0;0.0;6873.257468089605;car;other;other;false;3236.0541672599143
184135;5;1228214.2925190558;6183794.693680873;1229100.7669201784;6183847.4633410685;68999.0;1949.0;0.0;2658.6645777694653;car;leisure;home;true;888.0436368123504
77744;8;1174543.3226415194;6107358.942601832;1173613.8841613918;6107157.464411914;69092.0;1856.0;0.0;2482.0787815021904;car;other;home;true;951.0254199306412
185090;5;1181986.1668233243;6174706.646571886;1181349.081363728;6174184.103668107;70233.0;717.0;0.0;970.5808194786731;car;leisure;home;true;823.9714613497396
62427;5;1193407.623620133;6082759.558544699;1192814.811933098;6082167.280619207;69587.0;1435.0;0.0;2076.2874447970416;car;leisure;home;true;837.9849863277547
226801;5;1235451.118582713;6171730.843966203;1235549.7758085413;6171522.16428983;70892.0;178.0;0.0;214.0174612269173;walk;leisure;home;true;230.82559550255348
75221;2;1172934.8241510307;6106896.2212841995;1175009.0554188627;6107105.593902391;69259.0;1816.0;0.0;2539.5328158136163;car;leisure;home;true;2084.7715092307867
89840;3;1181877.5808414794;6113118.690841122;1181031.6902832296;6103522.58118636;61969.0;9126.0;0.0;15541.036068528518;car;work;other;false;9633.319850536975
242927;3;1207108.9511952198;6154506.8421132155;1207448.9430985958;6153295.72916357;69876.0;1332.0;0.0;1815.0706079450963;car;work;home;true;1257.9304715124158
162731;5;1228432.5114487042;6204050.71051471;1229349.803099845;6205756.57074899;69017.0;2216.0;0.0;3256.8517742913073;car;leisure;home;true;1936.8487582026148
212164;4;1227112.4533378594;6130505.443039097;1227513.0375416935;6129330.43780157;70573.0;683.0;0.0;1878.9105923185207;car;home;leisure;false;1241.4125070168238
79999;4;1177862.5339555212;6110716.310389326;1175788.345916648;6112017.628888186;66764.0;4509.0;0.0;6504.030071031822;car;home;leisure;false;2448.6089634893547
